RSSE,rank,6,524288,16384,850342.0,1151.45,512
RSSE,select,6,524288,16384,1960494.0,2651.89,128
RSSE,rank,7,524288,16384,934002.4,1033.32,512
RSSE,select,7,524288,16384,2166350.5,3397.63,128
RSSE,rank,8,524288,16384,918061.5,688.48,512
RSSE,select,8,524288,16384,2399598.0,2319.72,128
RSSE,rank,9,524288,16384,1070457.7,4426.61,256
RSSE,select,9,524288,16384,2625761.6,2948.40,128
RSSE,rank,10,524288,16384,1150269.8,779.69,256
RSSE,select,10,524288,16384,2831701.7,2412.66,128

RSN,rank,1048576,32768,35572.5,124.58,8192
RSN,select,1048576,32768,92879071515.0,275466030.86,2
RSL,rank,1048576,32768,19383.5,29.84,16384
RSL,select,1048576,32768,2508580.2,9012.08,128
RSSE,rank,1,1048576,32768,705770.3,1333.35,512
RSSE,select,1,1048576,32768,1873254.7,2458.43,256
RSSE,rank,2,1048576,32768,945976.1,404.29,512
RSSE,select,2,1048576,32768,2209448.0,3511.69,128
RSSE,rank,3,1048576,32768,1286335.4,2629.16,256
RSSE,select,3,1048576,32768,2519303.9,694.59,128
RSSE,rank,4,1048576,32768,1244204.2,682.23,256
RSSE,select,4,1048576,32768,2986349.6,10413.15,128
RSSE,rank,5,1048576,32768,1572808.7,2765.86,256
RSSE,select,5,1048576,32768,3421854.4,3166.85,128
RSSE,rank,6,1048576,32768,1693204.1,2072.57,256
RSSE,select,6,1048576,32768,3857126.2,2877.86,128
RSSE,rank,7,1048576,32768,1855023.2,3366.95,256
RSSE,select,7,1048576,32768,4293425.0,35045.96,64
RSSE,rank,8,1048576,32768,1816740.7,3001.42,256
RSSE,select,8,1048576,32768,4736803.9,6401.42,64
RSSE,rank,9,1048576,32768,2133169.4,1990.90,128
RSSE,select,9,1048576,32768,5133479.1,3933.49,64
RSSE,rank,10,1048576,32768,2274208.4,3560.79,128
RSSE,select,10,1048576,32768,5629081.4,8657.32,64

RSN,rank,2097152,65536,71105.7,198.32,4096
RSN,select,2097152,65536,370069674815.0,3566876708.71,2
RSL,rank,2097152,65536,38799.5,99.23,8192
RSL,select,2097152,65536,5882689.8,19885.84,64
RSSE,rank,1,2097152,65536,1372572.1,3112.96,256
RSSE,select,1,2097152,65536,3954832.5,13172.26,64
RSSE,rank,2,2097152,65536,1922768.5,2902.12,256
RSSE,select,2,2097152,65536,4689105.2,15332.77,64
RSSE,rank,3,2097152,65536,2553890.1,1183.47,128
RSSE,select,3,2097152,65536,5517520.9,6017.00,64
RSSE,rank,4,2097152,65536,2476939.5,5721.70,128
RSSE,select,4,2097152,65536,6433348.6,3750.43,64
RSSE,rank,5,2097152,65536,3085696.4,4547.90,128
RSSE,select,5,2097152,65536,7156802.2,12396.35,64
RSSE,rank,6,2097152,65536,3299396.1,2815.11,128
RSSE,select,6,2097152,65536,8011584.1,2913.38,32
RSSE,rank,7,2097152,65536,3632828.3,4812.17,128
RSSE,select,7,2097152,65536,8918938.8,3863.68,32
RSSE,rank,8,2097152,65536,3536246.0,4696.96,128
RSSE,select,8,2097152,65536,9828332.8,46366.13,32
RSSE,rank,9,2097152,65536,4131380.6,8974.20,64
RSSE,select,9,2097152,65536,10652732.5,12897.11,32
RSSE,rank,10,2097152,65536,4374196.4,14275.76,64
RSSE,select,10,2097152,65536,11443010.6,12762.33,32
